text,location,state,department
"public park maintenance neglected","Puducherry","Puducherry","Municipal Corporation"
"cattle menace on city roads","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from construction site late at night","Mumbai","Maharashtra","District Police"
"water scarcity in summer","Pune","Maharashtra","State Water Supply"
"uncollected garbage in market area","Nagpur","Maharashtra","District Waste Management"
"damaged public property","Thane","Maharashtra","State Public Works"
"electricity bill dispute","Nashik","Maharashtra","State Electricity Board"
"stray dog problem","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal hawkers blocking footpath","Mysuru","Karnataka","Municipal Corporation"
"traffic congestion due to poor planning","Mangaluru","Karnataka","Central Transport Authority"
"drainage blockage causing foul smell","Belagavi","Karnataka","Municipal Corporation"
"public transport fare hike","Hubballi-Dharwad","Karnataka","State Transport"
"land registration delay","Lucknow","Uttar Pradesh","Department of Revenue"
"unlicensed shops operating","Kanpur","Uttar Pradesh","Municipal Corporation"
"street crime increasing","Ghaziabad","Uttar Pradesh","District Police"
"food adulteration complaint","Agra","Uttar Pradesh","District Health Office"
"heritage site damage","Varanasi","Uttar Pradesh","State Public Works"
"water pipeline burst","Chennai","Tamil Nadu","State Water Supply"
"power fluctuation damaging appliances","Coimbatore","Tamil Nadu","State Electricity Board"
"illegal land grabbing","Madurai","Tamil Nadu","Department of Revenue"
"bus route changes without notice","Tiruchirappalli","Tamil Nadu","State Transport"
"missing child report","Hyderabad","Telangana","State Police"
"property tax assessment error","Hyderabad","Telangana","Department of Revenue"
"air pollution from factories","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"visa application delay","New Delhi","Delhi","Ministry of Home Affairs"
"GST fraud investigation","New Delhi","Delhi","Ministry of Finance"
"train ticket booking issues","New Delhi","Delhi","Ministry of Railways"
"university exam malpractice","New Delhi","Delhi","Ministry of Education"
"illegal mining of sand","Ranchi","Jharkhand","Department of Revenue"
"deforestation in protected areas","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"plastic waste on beaches","Goa","Goa","District Waste Management"
"coastal erosion affecting villages","Kochi","Kerala","State Public Works"
"online fraud reported","Bengaluru Urban","Karnataka","State Police"
"bridge needs urgent repair","Patna","Bihar","State Public Works"
"disaster relief mismanagement","Guwahati","Assam","District Collector's Office"
"poaching of endangered species","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of gold at airport","Amritsar","Punjab","Ministry of Finance"
"extortion by local gangs","Jaipur","Rajasthan","State Police"
"illegal construction on temple land","Bhubaneswar","Odisha","Department of Revenue"
"malnutrition in children","Raipur","Chhattisgarh","District Health Office"
"contaminated drinking water supply","Ahmedabad","Gujarat","State Water Supply"
"illegal encroachment on government land","Chandigarh","Chandigarh","Department of Revenue"
"landslide blocking road","Shimla","Himachal Pradesh","State Public Works"
"poor infrastructure in government schools","Srinagar","Jammu and Kashmir","District Education Office"
"frequent power cuts in rural areas","Agartala","Tripura","State Electricity Board"
"public park is unhygienic","Puducherry","Puducherry","Municipal Corporation"
"stray animal control needed","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from religious procession","Mumbai","Maharashtra","District Police"
"water shortage in residential complex","Pune","Maharashtra","State Water Supply"
"garbage not collected for days","Nagpur","Maharashtra","District Waste Management"
"damaged street signs","Thane","Maharashtra","State Public Works"
"faulty street lights","Nashik","Maharashtra","State Electricity Board"
"dog bite incident","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines","Mysuru","Karnataka","Municipal Corporation"
"traffic police corruption","Mangaluru","Karnataka","District Police"
"drainage overflow in residential area","Belagavi","Karnataka","Municipal Corporation"
"bus service irregular","Hubballi-Dharwad","Karnataka","State Transport"
"property dispute resolution","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized construction of mobile tower","Kanpur","Uttar Pradesh","Municipal Corporation"
"theft from vehicle","Ghaziabad","Uttar Pradesh","District Police"
"food poisoning incident","Agra","Uttar Pradesh","District Health Office"
"road damage due to heavy vehicles","Varanasi","Uttar Pradesh","State Public Works"
"water supply interruption","Chennai","Tamil Nadu","State Water Supply"
"power grid failure","Coimbatore","Tamil Nadu","State Electricity Board"
"land record discrepancies","Madurai","Tamil Nadu","Department of Revenue"
"public transport overcrowding","Tiruchirappalli","Tamil Nadu","State Transport"
"missing documents from government office","Hyderabad","Telangana","Department of Revenue"
"industrial pollution affecting crops","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport office delay","New Delhi","Delhi","Ministry of Home Affairs"
"customs duty evasion","New Delhi","Delhi","Ministry of Finance"
"railway platform cleanliness","New Delhi","Delhi","Ministry of Railways"
"fake degrees being issued","New Delhi","Delhi","Ministry of Education"
"illegal mining of coal","Ranchi","Jharkhand","Department of Revenue"
"wildlife habitat destruction","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"plastic waste on tourist beaches","Goa","Goa","District Waste Management"
"fishing regulations violation","Kochi","Kerala","Ministry of Home Affairs"
"online banking fraud","Bengaluru Urban","Karnataka","State Police"
"damaged public park equipment","Patna","Bihar","Municipal Corporation"
"lack of basic amenities in villages","Guwahati","Assam","District Collector's Office"
"poaching of tigers","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of drugs","Amritsar","Punjab","State Police"
"illegal gambling dens","Jaipur","Rajasthan","State Police"
"temple land encroachment by private party","Bhubaneswar","Odisha","Department of Revenue"
"lack of doctors in government hospitals","Raipur","Chhattisgarh","District Health Office"
"water supply disruption","Ahmedabad","Gujarat","State Water Supply"
"illegal construction on forest land","Chandigarh","Chandigarh","Department of Revenue"
"road blocked by fallen tree","Shimla","Himachal Pradesh","State Public Works"
"poor quality education in government schools","Srinagar","Jammu and Kashmir","District Education Office"
"frequent power cuts in urban areas","Agartala","Tripura","State Electricity Board"
"public park is not safe","Puducherry","Puducherry","District Police"
"stray dog menace","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial establishments","Mumbai","Maharashtra","District Police"
"water meter not working","Pune","Maharashtra","State Water Supply"
"garbage overflow in residential area","Nagpur","Maharashtra","District Waste Management"
"damaged road infrastructure","Thane","Maharashtra","State Public Works"
"electricity supply interruption","Nashik","Maharashtra","State Electricity Board"
"dog bite cases increasing","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking on main road","Mysuru","Karnataka","Municipal Corporation"
"traffic signal not working","Mangaluru","Karnataka","Central Transport Authority"
"drainage system choked","Belagavi","Karnataka","Municipal Corporation"
"bus service delays","Hubballi-Dharwad","Karnataka","State Transport"
"land dispute settlement","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized construction of commercial building","Kanpur","Uttar Pradesh","Municipal Corporation"
"chain snatching incident","Ghaziabad","Uttar Pradesh","District Police"
"food hygiene issues in restaurants","Agra","Uttar Pradesh","District Health Office"
"road maintenance required","Varanasi","Uttar Pradesh","State Public Works"
"water contamination issue","Chennai","Tamil Nadu","State Water Supply"
"power grid instability","Coimbatore","Tamil Nadu","State Electricity Board"
"land record errors","Madurai","Tamil Nadu","Department of Revenue"
"public transport overcrowding","Tiruchirappalli","Tamil Nadu","State Transport"
"missing government documents","Hyderabad","Telangana","Department of Revenue"
"industrial waste disposal","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application status","New Delhi","Delhi","Ministry of Home Affairs"
"income tax discrepancies","New Delhi","Delhi","Ministry of Finance"
"railway station cleanliness","New Delhi","Delhi","Ministry of Railways"
"education policy implementation","New Delhi","Delhi","Ministry of Education"
"illegal sand mining in riverbed","Ranchi","Jharkhand","Department of Revenue"
"wildlife protection violations","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"plastic pollution on beaches","Goa","Goa","District Waste Management"
"fishing boat accidents","Kochi","Kerala","Ministry of Home Affairs"
"cyber security breach","Bengaluru Urban","Karnataka","State Police"
"bridge structural damage","Patna","Bihar","State Public Works"
"disaster preparedness lacking","Guwahati","Assam","District Collector's Office"
"poaching of elephants","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of antiques","Amritsar","Punjab","Ministry of Finance"
"organized crime investigation","Jaipur","Rajasthan","State Police"
"temple land dispute","Bhubaneswar","Odisha","Department of Revenue"
"public health awareness programs","Raipur","Chhattisgarh","District Health Office"
"water supply management","Ahmedabad","Gujarat","State Water Supply"
"illegal construction on public land","Chandigarh","Chandigarh","Department of Revenue"
"road repair needed","Shimla","Himachal Pradesh","State Public Works"
"government school facilities","Srinagar","Jammu and Kashmir","District Education Office"
"power supply reliability","Agartala","Tripura","State Electricity Board"
"public park safety concerns","Puducherry","Puducherry","District Police"
"stray animal management","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise pollution from events","Mumbai","Maharashtra","District Police"
"water quality testing","Pune","Maharashtra","State Water Supply"
"garbage collection frequency","Nagpur","Maharashtra","District Waste Management"
"damaged public infrastructure","Thane","Maharashtra","State Public Works"
"electricity meter reading error","Nashik","Maharashtra","State Electricity Board"
"dog menace in residential areas","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking enforcement","Mysuru","Karnataka","Municipal Corporation"
"traffic management issues","Mangaluru","Karnataka","Central Transport Authority"
"drainage system maintenance","Belagavi","Karnataka","Municipal Corporation"
"bus service punctuality","Hubballi-Dharwad","Karnataka","State Transport"
"property boundary dispute","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street hawkers","Kanpur","Uttar Pradesh","Municipal Corporation"
"robbery investigation","Ghaziabad","Uttar Pradesh","District Police"
"food safety inspection","Agra","Uttar Pradesh","District Health Office"
"road construction quality","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure","Chennai","Tamil Nadu","State Water Supply"
"power grid modernization","Coimbatore","Tamil Nadu","State Electricity Board"
"land record digitization","Madurai","Tamil Nadu","Department of Revenue"
"public transport accessibility","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate","Hyderabad","Telangana","District Collector's Office"
"environmental impact assessment","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport office services","New Delhi","Delhi","Ministry of Home Affairs"
"tax evasion investigation","New Delhi","Delhi","Ministry of Finance"
"railway safety concerns","New Delhi","Delhi","Ministry of Railways"
"education curriculum development","New Delhi","Delhi","Ministry of Education"
"illegal logging","Ranchi","Jharkhand","Ministry of Environment, Forest and Climate Change"
"wildlife conservation efforts","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"waste management on beaches","Goa","Goa","District Waste Management"
"fishing boat registration","Kochi","Kerala","Ministry of Home Affairs"
"online fraud prevention","Bengaluru Urban","Karnataka","State Police"
"bridge inspection and repair","Patna","Bihar","State Public Works"
"disaster relief distribution","Guwahati","Assam","District Collector's Office"
"poaching of rhinos","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of drugs at border","Amritsar","Punjab","State Police"
"organized crime control","Jaipur","Rajasthan","State Police"
"temple management issues","Bhubaneswar","Odisha","Department of Revenue"
"public health campaigns","Raipur","Chhattisgarh","District Health Office"
"water treatment plant maintenance","Ahmedabad","Gujarat","State Water Supply"
"illegal construction on river banks","Chandigarh","Chandigarh","Department of Revenue"
"road safety measures","Shimla","Himachal Pradesh","State Public Works"
"government school infrastructure","Srinagar","Jammu and Kashmir","District Education Office"
"power supply stability","Agartala","Tripura","State Electricity Board"
"public park security","Puducherry","Puducherry","District Police"
"stray animal sterilization","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from industrial area","Mumbai","Maharashtra","District Police"
"water supply pressure issues","Pune","Maharashtra","State Water Supply"
"garbage disposal system","Nagpur","Maharashtra","District Waste Management"
"damaged public utilities","Thane","Maharashtra","State Public Works"
"electricity meter replacement","Nashik","Maharashtra","State Electricity Board"
"dog bite prevention","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines appeal","Mysuru","Karnataka","Municipal Corporation"
"traffic signal synchronization","Mangaluru","Karnataka","Central Transport Authority"
"drainage system cleaning","Belagavi","Karnataka","Municipal Corporation"
"bus service complaints","Hubballi-Dharwad","Karnataka","State Transport"
"property ownership dispute","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street vendors removal","Kanpur","Uttar Pradesh","Municipal Corporation"
"theft from residence","Ghaziabad","Uttar Pradesh","District Police"
"food safety regulations","Agra","Uttar Pradesh","District Health Office"
"road construction delays","Varanasi","Uttar Pradesh","State Public Works"
"water supply contamination","Chennai","Tamil Nadu","State Water Supply"
"power grid overload","Coimbatore","Tamil Nadu","State Electricity Board"
"land record updates","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety","Tiruchirappalli","Tamil Nadu","State Transport"
"missing death certificate","Hyderabad","Telangana","District Collector's Office"
"environmental protection laws","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application tracking","New Delhi","Delhi","Ministry of Home Affairs"
"tax audit issues","New Delhi","Delhi","Ministry of Finance"
"railway station facilities","New Delhi","Delhi","Ministry of Railways"
"education scholarship programs","New Delhi","Delhi","Ministry of Education"
"illegal mining of minerals","Ranchi","Jharkhand","Department of Revenue"
"wildlife sanctuary management","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"beach cleanliness drives","Goa","Goa","District Waste Management"
"fishing license renewal","Kochi","Kerala","Ministry of Home Affairs"
"online fraud investigation","Bengaluru Urban","Karnataka","State Police"
"bridge maintenance schedule","Patna","Bihar","State Public Works"
"disaster warning systems","Guwahati","Assam","District Collector's Office"
"poaching of deer","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of weapons","Amritsar","Punjab","State Police"
"cybercrime unit assistance","Jaipur","Rajasthan","State Police"
"temple renovation permits","Bhubaneswar","Odisha","Department of Revenue"
"maternal and child health services","Raipur","Chhattisgarh","District Health Office"
"water supply infrastructure","Ahmedabad","Gujarat","State Water Supply"
"illegal construction demolition","Chandigarh","Chandigarh","Municipal Corporation"
"road resurfacing needed","Shimla","Himachal Pradesh","State Public Works"
"teacher recruitment in government schools","Srinagar","Jammu and Kashmir","District Education Office"
"power grid expansion","Agartala","Tripura","State Electricity Board"
"public park lighting","Puducherry","Puducherry","Municipal Corporation"
"stray dog population control","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial vehicles","Mumbai","Maharashtra","District Police"
"water supply complaints","Pune","Maharashtra","State Water Supply"
"garbage collection schedule","Nagpur","Maharashtra","District Waste Management"
"damaged public benches","Thane","Maharashtra","State Public Works"
"electricity connection issues","Nashik","Maharashtra","State Electricity Board"
"dog barking complaints","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines payment","Mysuru","Karnataka","Municipal Corporation"
"traffic signal repair","Mangaluru","Karnataka","Central Transport Authority"
"drainage system overflow","Belagavi","Karnataka","Municipal Corporation"
"bus service complaints","Hubballi-Dharwad","Karnataka","State Transport"
"property tax collection","Lucknow","Uttar Pradesh","Municipal Corporation"
"unauthorized construction on public land","Kanpur","Uttar Pradesh","Municipal Corporation"
"mobile snatching incident","Ghaziabad","Uttar Pradesh","District Police"
"food safety standards","Agra","Uttar Pradesh","District Health Office"
"road construction quality control","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure problems","Chennai","Tamil Nadu","State Water Supply"
"power grid stability","Coimbatore","Tamil Nadu","State Electricity Board"
"land record correction","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety measures","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate application","Hyderabad","Telangana","District Collector's Office"
"environmental pollution control","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application status check","New Delhi","Delhi","Ministry of Home Affairs"
"tax refund status","New Delhi","Delhi","Ministry of Finance"
"railway station amenities","New Delhi","Delhi","Ministry of Railways"
"education policy implementation","New Delhi","Delhi","Ministry of Education"
"illegal mining of sand in riverbed","Ranchi","Jharkhand","Department of Revenue"
"wildlife sanctuary protection","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"beach cleaning drives","Goa","Goa","District Waste Management"
"fishing boat safety","Kochi","Kerala","Ministry of Home Affairs"
"online fraud reporting","Bengaluru Urban","Karnataka","State Police"
"bridge construction quality","Patna","Bihar","State Public Works"
"disaster management planning","Guwahati","Assam","District Collector's Office"
"poaching of wildlife","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of illegal goods","Amritsar","Punjab","State Police"
"cybercrime reporting","Jaipur","Rajasthan","State Police"
"temple land management","Bhubaneswar","Odisha","Department of Revenue"
"public health services","Raipur","Chhattisgarh","District Health Office"
"water supply infrastructure maintenance","Ahmedabad","Gujarat","State Water Supply"
"illegal construction on government land","Chandigarh","Chandigarh","Municipal Corporation"
"road maintenance and repair","Shimla","Himachal Pradesh","State Public Works"
"government school teacher shortage","Srinagar","Jammu and Kashmir","District Education Office"
"power supply reliability issues","Agartala","Tripura","State Electricity Board"
"public park security concerns","Puducherry","Puducherry","District Police"
"stray animal control services","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial establishments late at night","Mumbai","Maharashtra","District Police"
"water quality complaints","Pune","Maharashtra","State Water Supply"
"garbage collection issues","Nagpur","Maharashtra","District Waste Management"
"damaged public infrastructure repair","Thane","Maharashtra","State Public Works"
"electricity meter reading discrepancies","Nashik","Maharashtra","State Electricity Board"
"dog menace in public areas","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines appeal process","Mysuru","Karnataka","Municipal Corporation"
"traffic signal malfunction","Mangaluru","Karnataka","Central Transport Authority"
"drainage system overflow in residential areas","Belagavi","Karnataka","Municipal Corporation"
"bus service punctuality complaints","Hubballi-Dharwad","Karnataka","State Transport"
"property ownership disputes resolution","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street hawkers removal from market","Kanpur","Uttar Pradesh","Municipal Corporation"
"mobile snatching investigation","Ghaziabad","Uttar Pradesh","District Police"
"food safety inspection in restaurants","Agra","Uttar Pradesh","District Health Office"
"road construction quality control and monitoring","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure problems in high-rise buildings","Chennai","Tamil Nadu","State Water Supply"
"power grid stability issues and solutions","Coimbatore","Tamil Nadu","State Electricity Board"
"land record updates and corrections","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety and security measures","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate application process","Hyderabad","Telangana","District Collector's Office"
"environmental pollution control and prevention","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application status and processing time","New Delhi","Delhi","Ministry of Home Affairs"
"tax audit issues and resolution","New Delhi","Delhi","Ministry of Finance"
"railway station amenities and passenger facilities","New Delhi","Delhi","Ministry of Railways"
"education scholarship programs and eligibility","New Delhi","Delhi","Ministry of Education"
"illegal mining of sand in riverbeds and its impact","Ranchi","Jharkhand","Department of Revenue"
"wildlife sanctuary protection and management","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"beach cleaning drives and waste management","Goa","Goa","District Waste Management"
"fishing boat safety and registration","Kochi","Kerala","Ministry of Home Affairs"
"online fraud prevention and reporting mechanisms","Bengaluru Urban","Karnataka","State Police"
"bridge structural damage and repair work","Patna","Bihar","State Public Works"
"disaster warning systems and emergency response","Guwahati","Assam","District Collector's Office"
"poaching of endangered species and conservation efforts","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of illegal goods at border checkpoints","Amritsar","Punjab","State Police"
"cybercrime reporting and investigation procedures","Jaipur","Rajasthan","State Police"
"temple management and renovation permits","Bhubaneswar","Odisha","Department of Revenue"
"public health services and awareness campaigns","Raipur","Chhattisgarh","District Health Office"
"water treatment plant maintenance and upgrades","Ahmedabad","Gujarat","State Water Supply"
"illegal construction demolition and enforcement","Chandigarh","Chandigarh","Municipal Corporation"
"road maintenance and repair work needed","Shimla","Himachal Pradesh","State Public Works"
"government school teacher shortage and recruitment","Srinagar","Jammu and Kashmir","District Education Office"
"power supply reliability issues and solutions","Agartala","Tripura","State Electricity Board"
"public park security concerns and measures","Puducherry","Puducherry","District Police"
"stray animal control services and sterilization programs","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial establishments late at night complaints","Mumbai","Maharashtra","District Police"
"water quality complaints and testing results","Pune","Maharashtra","State Water Supply"
"garbage collection issues and frequency in residential areas","Nagpur","Maharashtra","District Waste Management"
"damaged public infrastructure repair and maintenance","Thane","Maharashtra","State Public Works"
"electricity meter reading discrepancies and billing errors","Nashik","Maharashtra","State Electricity Board"
"dog menace in public areas and control measures","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines appeal process and guidelines","Mysuru","Karnataka","Municipal Corporation"
"traffic signal malfunction and repair status","Mangaluru","Karnataka","Central Transport Authority"
"drainage system overflow in residential areas and solutions","Belagavi","Karnataka","Municipal Corporation"
"bus service punctuality complaints and improvements","Hubballi-Dharwad","Karnataka","State Transport"
"property ownership disputes resolution and legal aid","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street hawkers removal from market areas","Kanpur","Uttar Pradesh","Municipal Corporation"
"mobile snatching investigation and prevention strategies","Ghaziabad","Uttar Pradesh","District Police"
"food safety inspection in restaurants and hygiene standards","Agra","Uttar Pradesh","District Health Office"
"road construction quality control and monitoring of projects","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure problems in high-rise buildings and solutions","Chennai","Tamil Nadu","State Water Supply"
"power grid stability issues and modernization efforts","Coimbatore","Tamil Nadu","State Electricity Board"
"land record updates and corrections process","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety and security measures for passengers","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate application process and requirements","Hyderabad","Telangana","District Collector's Office"
"environmental pollution control and prevention strategies","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application status and processing time for renewals","New Delhi","Delhi","Ministry of Home Affairs"
"tax audit issues and resolution procedures","New Delhi","Delhi","Ministry of Finance"
"railway station amenities and passenger facilities improvements","New Delhi","Delhi","Ministry of Railways"
"education scholarship programs and eligibility criteria","New Delhi","Delhi","Ministry of Education"
"illegal mining of sand in riverbeds and its environmental impact","Ranchi","Jharkhand","Department of Revenue"
"wildlife sanctuary protection and management strategies","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
